order_id,date,customer_name,product,quantity,price_per_unit,total_price
3b9ca76c,2024-08-23,Tara Butler,Laptop,4,1290.74,5162.96
0fa43527,2024-06-18,Paula Patel,Smartwatch,3,1008.74,3026.23
99d5983f,2024-07-03,Susan Pierce,Laptop,2,1535.84,3071.68
edabc662,2024-06-16,Erika James,Phone,2,510.38,1020.76
37af153a,2024-06-29,Joshua Griffin,Smartwatch,3,329.85,989.56
d1df470f,2024-07-27,Gregory Thomas,Smartwatch,2,344.84,689.67
777a963b,2024-06-05,Jermaine Chapman,Headphones,5,829.26,4146.3
a21360dd,2024-11-20,Taylor Rodriguez,Phone,2,1408.46,2816.93
56110a82,2025-01-22,Joseph Potter,Smartwatch,4,566.92,2267.67
93a97e14,2024-04-28,Joshua Mccarthy,Headphones,1,1477.05,1477.05
b8c42bdf,2024-06-16,Kimberly Evans,Smartwatch,1,1978.55,1978.55
4ea3817c,2025-02-24,Vanessa Poole,Tablet,3,889.89,2669.66
d06ee4fd,2025-01-19,Fernando Pearson,Smartwatch,5,755.07,3775.34
330804d0,2024-06-04,Shawn Bruce,Laptop,3,311.19,933.58
b49487a1,2025-03-06,Grace White,Tablet,1,404.04,404.04
013f8660,2025-02-26,Rebecca Dorsey,Headphones,5,821.21,4106.06
9d3744fb,2024-12-02,Destiny Hernandez,Headphones,4,1673.64,6694.57
d4feb5e5,2024-03-13,Todd Rodgers,Laptop,5,270.7,1353.49
0fbe754c,2024-08-12,Richard Friedman,Headphones,3,858.62,2575.87
b031f222,2025-03-08,Kevin Miller,Tablet,5,1696.37,8481.85
beaa3fff,2025-01-09,Alan Moore,Laptop,5,505.1,2525.51
057a7d8e,2024-12-01,Monique Mendoza,Tablet,2,1004.91,2009.81
8f7f7a7c,2024-08-17,Mary Terry,Headphones,2,497.25,994.5
096d2b13,2025-02-18,Robert Harper,Headphones,1,1830.55,1830.55
db72f1fe,2025-02-15,Donna Martinez,Tablet,1,272.09,272.09
a423c7fd,2024-07-11,Christine Hernandez,Phone,2,1292.31,2584.63
9337aef2,2024-10-14,Dale Rivera,Smartwatch,5,1767.16,8835.81
8055715c,2024-11-30,Christopher Long,Laptop,5,903.34,4516.69
ea9f328d,2024-09-10,Frank Ortiz,Headphones,1,957.1,957.1
fc6dad12,2025-01-07,Timothy Harris,Phone,4,859.26,3437.03
0bb6c340,2024-10-31,Patricia Collier,Headphones,3,1318.55,3955.64
bc4c337b,2025-03-09,Cynthia Swanson,Headphones,4,1728.99,6915.94
2a9e6763,2024-03-16,Alyssa Lewis,Headphones,4,223.09,892.37
435d4566,2024-05-23,Tony Guerrero,Tablet,5,280.45,1402.24
e94fbcf2,2024-05-18,Dr. Christopher Butler,Smartwatch,4,1574.32,6297.27
4402d504,2025-01-04,Alison Anderson,Smartwatch,2,1496.67,2993.35
58ad08bf,2025-02-06,Robert Lee,Laptop,3,969.9,2909.69
194a9d37,2024-05-04,Frederick West,Laptop,1,842.65,842.65
488b8989,2024-12-27,Roberta Freeman,Headphones,1,1766.33,1766.33
e1b30cb9,2024-11-24,Kimberly Sullivan,Tablet,3,1771.31,5313.93
1c031b38,2024-11-13,Brett Freeman,Laptop,2,408.74,817.48
c7ef4656,2024-11-05,Connie Brown,Laptop,5,1449.17,7245.83
8bc410b1,2024-10-14,Matthew Smith,Laptop,2,1054.52,2109.04
ed88192e,2024-08-17,Katelyn Smith,Tablet,5,1562.11,7810.53
dc3fb681,2024-07-01,Jennifer Terry,Headphones,5,1916.85,9584.23
1b40dbb7,2024-04-25,Sandra Delacruz,Smartwatch,1,968.79,968.79
139c8904,2024-08-19,Tammy Wright,Smartwatch,5,371.74,1858.71
47e3b30e,2025-02-25,Keith Ramirez,Tablet,1,1544.89,1544.89
f44010a9,2024-07-02,Jacob Gordon,Smartwatch,3,998.83,2996.48
31e43001,2024-03-13,Benjamin Barnes,Phone,5,1143.37,5716.83
8bbdf777,2024-06-18,Victoria Robinson,Smartwatch,1,262.23,262.23
dad926c0,2024-03-17,Jesse Freeman DDS,Laptop,1,1497.4,1497.4
1707e5cf,2024-07-30,Jennifer Baker,Smartwatch,5,1123.18,5615.88
bf447e98,2024-11-17,Jennifer Gillespie,Tablet,5,161.2,805.98
26784f00,2024-04-02,Tanya Clark,Headphones,2,1628.14,3256.28
96a157d2,2025-01-07,Christopher Delgado,Phone,1,686.0,686.0
1e08790a,2024-09-26,Beth Sanchez,Headphones,2,899.79,1799.58
8f75fa21,2024-12-08,Kathryn Baker,Smartwatch,5,1216.85,6084.25
94cb4447,2025-02-23,Connor Martin,Headphones,4,1806.0,7223.99
f3d99d2c,2024-08-12,Melody Potter,Phone,5,1681.77,8408.85
b080971e,2024-04-27,Mr. Kevin Barker,Laptop,2,828.86,1657.72
95106c50,2025-02-18,Robert Pace,Smartwatch,2,687.1,1374.2
4ae51f16,2025-01-06,Jeffrey Miller,Smartwatch,3,1027.29,3081.88
3e0130d4,2025-02-16,Veronica Stout,Laptop,2,1776.93,3553.87
2b338982,2025-02-16,Randy Reynolds,Headphones,5,819.23,4096.15
e10ed904,2024-11-29,Robert Thompson,Headphones,1,160.92,160.92
c81154b8,2024-04-16,Rhonda Townsend,Tablet,2,688.69,1377.38
